Sample, clk, data
27828677, 0, 0
27828738, 1, 0
27828790, 0, 0
27828851, 1, 0
27828902, 0, 0
27828963, 1, 0
27829015, 0, 0
27829076, 1, 0
27829127, 0, 0
27829188, 1, 0
27829240, 0, 0
27829301, 1, 0
27829352, 0, 0
27829413, 1, 0
27829464, 0, 0
27829525, 1, 0
27829577, 0, 0
27829637, 1, 0
27829689, 0, 0
27829750, 1, 0
27829801, 0, 0
27829862, 1, 0
27829913, 0, 0
27829974, 1, 0
27830026, 0, 0
27830086, 1, 0
27830138, 0, 0
27830198, 1, 0
27830250, 0, 0
27830311, 1, 0
27830363, 0, 0
27830424, 1, 0
27830475, 0, 0
27830536, 1, 0
27830587, 0, 0
27830648, 1, 0
27830700, 0, 0
27830760, 1, 0
27830812, 0, 0
27830873, 1, 0
27830924, 0, 0
27830985, 1, 0
27831037, 0, 0
27831098, 1, 0
27831149, 0, 0
27831210, 1, 0
27831261, 0, 0
27831322, 1, 0
27831374, 0, 0
27831435, 1, 0
27831486, 0, 0
27831547, 1, 0
27831599, 0, 0
27831660, 1, 0
27831711, 0, 0
27831772, 1, 0
27831823, 0, 0
27831884, 1, 0
27831935, 0, 0
27831996, 1, 0
27832048, 0, 0
27832108, 1, 0
27832160, 0, 0
27832221, 1, 0
27832272, 0, 0
27832333, 1, 0
27832384, 0, 0
27832445, 1, 0
27832497, 0, 0
27832557, 1, 0
27832609, 0, 0
27832670, 1, 0
27832721, 0, 0
27832782, 1, 0
27832834, 0, 0
27832895, 1, 0
27832946, 0, 0
27833007, 1, 0
27833059, 0, 0
27833120, 1, 0
27833171, 0, 0
27833232, 1, 0
27833283, 0, 0
27833344, 1, 0
27833395, 0, 0
27833456, 1, 0
27833508, 0, 0
27833569, 1, 0
27833620, 0, 0
27833681, 1, 0
27833733, 0, 0
27833794, 1, 0
27833845, 0, 0
27833906, 1, 0
27833957, 0, 0
27834018, 1, 0
27834070, 0, 0
27834130, 1, 0
27834182, 0, 0
27834242, 1, 0
27834294, 0, 0
27834355, 1, 0
27834406, 0, 0
27834467, 1, 0
27834518, 0, 0
27834579, 1, 0
27834631, 0, 0
27834692, 1, 0
27834743, 0, 0
27834804, 1, 0
27834856, 0, 0
27834917, 1, 0
27834968, 0, 0
27835029, 1, 0
27835080, 0, 0
27835141, 1, 0
27835193, 0, 0
27835254, 1, 0
27835305, 0, 0
27835366, 1, 0
27835418, 0, 0
27835478, 1, 0
27835530, 0, 0
27835591, 1, 0
27835642, 0, 0
27835703, 1, 0
27835755, 0, 0
27835816, 1, 0
27835867, 0, 0
27835928, 1, 0
27835979, 0, 0
27836041, 1, 0
27836092, 0, 0
27836153, 1, 0
27836204, 0, 0
27836265, 1, 0
27836317, 0, 0
27836378, 1, 0
27836429, 0, 0
27836490, 1, 0
27836541, 0, 0
27836602, 1, 0
27836654, 0, 0
27836714, 1, 0
27836766, 0, 0
27836827, 1, 0
27836878, 0, 0
27836939, 1, 0
27836990, 0, 0
27837051, 1, 0
27837103, 0, 0
27837163, 1, 0
27837215, 0, 1
27837304, 1, 1
27837354, 1, 0
27837405, 0, 0
27837431, 0, 1
27837479, 1, 1
27837532, 0, 1
27837598, 1, 1
27837651, 0, 1
27837669, 0, 0
27837717, 1, 0
27837770, 0, 0
27837835, 1, 0
27837888, 0, 0
27837906, 0, 1
27837954, 1, 1
27838007, 0, 1
27838073, 1, 1
27838126, 0, 1
27838144, 0, 0
27838192, 1, 0
27838245, 0, 0
27838310, 1, 0
27838363, 0, 0
27838394, 0, 1
27838441, 1, 1
27838494, 0, 1
27838512, 0, 0
27838559, 1, 0
27838612, 0, 0
27838678, 1, 0
27838731, 0, 0
27838796, 1, 0
27838849, 0, 0
27838915, 1, 0
27838968, 0, 0
27839033, 1, 0
27839086, 0, 0
27839151, 1, 0
27839204, 0, 0
27839270, 1, 0
27839323, 0, 0
27839400, 1, 0
27839453, 0, 0
27839519, 1, 0
27839571, 0, 0
27839637, 1, 0
27839690, 0, 0
27839755, 1, 0
27839808, 0, 0
27839873, 1, 0
27839926, 0, 0
27839992, 1, 0
27840045, 0, 0
27840064, 0, 1
27840111, 1, 1
27840164, 0, 1
27840182, 0, 0
27840230, 1, 0
27840282, 0, 0
27840364, 1, 0
27840414, 1, 1
27840465, 0, 0
27840524, 1, 0
27840576, 0, 0
27840636, 1, 0
27840688, 0, 0
27840689, 0, 1
27840775, 1, 1
27840825, 1, 0
27840875, 0, 0
27840902, 0, 1
27840950, 1, 1
27841002, 0, 1
27841069, 1, 1
27841122, 0, 1
27841139, 0, 0
27841187, 1, 0
27841240, 0, 0
27841305, 1, 0
27841358, 0, 0
27841377, 0, 1
27841424, 1, 1
27841477, 0, 1
27841544, 1, 1
27841597, 0, 1
27841614, 0, 0
27841662, 1, 0
27841715, 0, 0
27841780, 1, 0
27841833, 0, 0
27841910, 1, 0
